"","Name","Party","RepParty","Begin","End","N_Years","Organization","Position","Econ_Sector","ThreeMore_Econ_Sector","Course_University","Place_University","Privatized_Company","Gender","MajorEconGroup","PPP","Angola","PSI20","Government","BusinessConnected"
"143","Alberto Santos Ramalheira","PS","N.a.","N.d.","N.d.","N.a.","MG Fundos, SGF Investimentos Mobiliários, S.A.","Presidente",5,1,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"144","Alberto Santos Ramalheira","PS","N.a.","N.d.","N.d.","N.a.","Futuro – SGF Pensões, S.A.","CA",2,1,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"145","Alberto Santos Ramalheira","PS","N.a.","N.d.","N.d.","N.a.","Companhia de Seguros Lusitânia-Vida, S.A","CA",2,1,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"146","Alberto Santos Ramalheira","PS","N.a.","1999","2007","8","Caixa Económica de Cabo Verde","Presidente",1,1,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"147","Alberto Santos Ramalheira","PS","N.a.","N.d.","2014","N.a.","Santa Casa de Misericórdia de Cascais","Presidente do CF",0,1,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"148","Alberto Santos Ramalheira","PS","N.a.","2009","2011","2","União das Mutualidades Portuguesas","Presidente",0,1,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"149","Alberto Santos Ramalheira","PS","N.a.","2010","N.d.","N.a.","Montepio Geral","Conselho Geral",1,1,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"150","Alberto Oliveira e Silva","PS","N.a.","N.d.","N.d.","N.a.","Faculdade de Direito da Universidade de Coimbra","Estudante",0,0,"Direito","Coimbra",0,"M","No",0,0,"No","No",1
"151","Alberto Oliveira e Silva","PS","N.a.","1974","1974","1","Hospital Distrital de Viana do Castelo","Presidente da Comissão Administrativa",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"152","Alberto Oliveira e Silva","PS","N.a.","1976","1980","4","Viana do Castelo","Governador Civil",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"153","Alberto Oliveira e Silva","PS","PS","1976","1983","7","Assembleia da República","Deputado",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"154","Alberto Oliveira e Silva","PS","PS","1978","1978","1","Governo","Ministro da Administração Interna",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","II",1
"155","Alberto Oliveira e Silva","PS","PS","1985","1995","10","Assembleia da República","Deputado",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"156","Alberto Oliveira e Silva","PS","PS","1993","1995","2","Assembleia Municipal de Viana do Castelo","Presidente",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"157","Alberto Oliveira e Silva","PS","N.a.","1995","2002","7","Viana do Castelo","Governador Civil",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
